Product Name,Total_Profit
"Bevis Traditional Conference Table Top, Plinth Base",-456.7032
Chromcraft Rectangular Conference Tables,-450.243
Swingline SM12-08 MicroCut Jam Free Shredder,-447.9888
Bevis Boat-Shaped Conference Table,-445.587
Novimex Swivel Fabric Task Chair,-445.391
Okidata MB491 Multifunction Printer,-434.13
Premier Automatic Letter Opener,-427.8586
"Sauder Forest Hills Library with Doors, Woodland Oak Finish",-418.548
Riverside Furniture Stanwyck Manor Table Series,-415.9325
GBC VeloBinder Electric Binding Machine,-411.332
"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",-404.00640000000004
Hon 2111 Invitation Series Corner Table,-401.9904
"Iceberg OfficeWorks 42"" Round Tables",-392.54799999999994
LG G2,-374.9925
Balt Split Level Computer Training Table,-357.97499999999997
"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",-343.0956
Jawbone MINI JAMBOX Wireless Bluetooth Speaker,-339.7104
Fellowes Officeware Wire Shelving,-332.371
"Lesro Round Back Collection Coffee Table, End Table",-328.59
Bretford Rectangular Conference Table Tops,-327.2331
Euro Pro Shark Stick Mini Vacuum,-325.6332
"Brother MFC-9340CDW LED All-In-One Printer, Copier Scanner",-319.1916
Ibico Hi-Tech Manual Binding System,-304.99
Hon Rectangular Conference Tables,-295.815
Sauder Barrister Bookcases,-294.7672
Okidata C610n Printer,-292.04999999999995
O'Sullivan Manor Hill 2-Door Library in Brianna Oak,-285.9484
"Eldon ""L"" Workstation Diamond Chairmat",-267.4496
High Speed Automatic Electric Letter Opener,-262.00480000000005
Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,-256.56359999999995
Xerox WorkCentre 6505DN Laser Multifunction Printer,-251.9958
Okidata B401 Printer,-251.9874
KI Adjustable-Height Table,-248.48219999999998
Global Low Back Tilter Chair,-246.3912
Catalog Binders with Expanding Posts,-242.20800000000003
Hon 5100 Series Wood Tables,-238.60360000000003
Office Star Flex Back Scooter Chair with White Frame,-228.61880000000002
"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",-222.73649999999998
Safco Industrial Wire Shelving System,-218.352
Global Deluxe Steno Chair,-216.31380000000001
Balt Solid Wood Rectangular Table,-216.2545
LG Exalt,-212.14640000000003
"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",-208.6504
Laminate Occasional Tables,-206.5342
"Premier Elliptical Ring Binder, Black",-201.51279999999997
High-Back Leather Manager's Chair,-197.5848
"Bevis Round Bullnose 29"" High Table Top",-192.18540000000002
Hon 4-Shelf Metal Bookcases,-191.86200000000002
"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",-190.8522
Chromcraft Round Conference Tables,-189.9761
"Belkin 19"" Vented Equipment Shelf, Black",-179.6652
"Hon 30"" x 60"" Table with Locking Drawer",-177.3512
Honeywell Enviracaire Portable Air Cleaner for up to 8 x 10 Room,-177.22320000000002
"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",-173.12879999999998
"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",-172.9412
Epson Perfection V600 Photo Scanner,-172.4925
O'Sullivan Living Dimensions 3-Shelf Bookcases,-170.83299999999997
Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,-167.27
"Global Geo Office Task Chair, Gray",-166.00900000000001
Cisco 8961 IP Phone Charcoal,-164.9538
Bevis 44 x 96 Conference Tables,-164.72000000000003
"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",-158.48579999999998
Global Deluxe High-Back Office Chair in Storm,-149.589
Hon 61000 Series Interactive Training Tables,-148.3962
"Bush Andora Conference Table, Maple/Graphite Gray Finish",-143.6232
Novimex High-Tech Fabric Mesh Task Chair,-133.4424
O'Sullivan 2-Shelf Heavy-Duty Bookcases,-133.1092
Novimex Fabric Task Chair,-131.107
Office Star - Mesh Screen back chair with Vinyl seat,-130.98
Tenex Chairmats For Use with Hard Floors,-129.92
Samsung Galaxy Note 2,-128.79719999999998
Safco Industrial Wire Shelving,-126.7068
"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",-126.44099999999996
"Sauder Mission Library with Doors, Fruitwood Finish",-125.74080000000001
"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",-125.1996
Carina Media Storage Towers in Natural & Black,-121.96000000000001
Belkin F9S820V06 8 Outlet Surge,-120.17599999999999
Cisco IP Phone 7961G-GE VoIP phone,-119.119
"Bush Birmingham Collection Bookcase, Dark Cherry",-117.882
Hon 2111 Invitation Series Straight Table,-115.30739999999999
"Global Leather & Oak Executive Chair, Burgundy",-114.6764
Acco 6 Outlet Guardian Premium Plus Surge Suppressor,-113.76719999999999
"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",-113.2606
Eldon Cleatmat Plus Chair Mats for High Pile Carpets,-111.328
"Carina 42""Hx23 3/4""W Media Storage Unit",-110.1328
Tennsco Industrial Shelving,-108.5802
"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",-104.832
Safco Industrial Shelving,-104.1285
Sauder Camden County Collection Library,-103.482
Acco D-Ring Binder w/DublLock,-102.8378
"Bush Westfield Collection Bookcases, Dark Cherry Finish",-97.4064
Motorola HK250 Universal Bluetooth Headset,-91.5002
GBC Linen Binding Covers,-82.4068
"Wilson Jones Elliptical Ring 3 1/2"" Capacity Binders, 800 sheets",-82.17599999999999
Sauder Cornerstone Collection Library,-81.16760000000001
"Global Task Chair, Black",-80.4062
O'Sullivan Living Dimensions 2-Shelf Bookcases,-78.637
Eldon Executive Woodline II Cherry Finish Desk Accessories,-78.5088
O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,-78.36359999999999
"Sauder Camden County Collection Libraries, Planked Cherry Finish",-78.18639999999999
Sensible Storage WireTech Storage Systems,-78.07799999999999
Fellowes Command Center 5-outlet power strip,-78.016
Space Solutions Commercial Steel Shelving,-74.34749999999998
Hewlett-Packard Deskjet F4180 All-in-One Color Ink-jet - Printer / copier / scanner,-71.3958
Rush Hierlooms Collection Rich Wood Bookcases,-70.8312
"Sauder Forest Hills Library, Woodland Oak Finish",-70.49
Avery Recycled Flexi-View Covers for Binding Systems,-69.5702
"Carina Mini System Audio Rack, Model AR050B",-68.8076
GBC Plasticlear Binding Covers,-68.4208
"O'Sullivan Elevations Bookcase, Cherry Finish",-68.1096
"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",-66.82720000000002
"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",-63.587999999999994
i.Sound Portable Power - 8000 mAh,-58.8189
V7 USB Numeric Keypad,-58.7832
"Contico 72""H Heavy-Duty Storage System",-57.372
Compact Automatic Electric Letter Opener,-57.268800000000006
Bush Somerset Collection Bookcase,-56.3214
Fellowes Econo/Stor Drawers,-56.2194
OtterBox Commuter Series Case - Samsung Galaxy S4,-55.977599999999995
Cisco CP-7937G Unified IP Conference Station Phone,-55.656
"Eldon Base for stackable storage shelf, platinum",-52.569
iOttie XL Car Mount,-50.3748
Clearsounds A400,-48.8326
Hon Deluxe Fabric Upholstered Stacking Chairs,-48.796
Eldon Advantage Foldable Chair Mats for Low Pile Carpets,-48.78
Tennsco Commercial Shelving,-48.6126
SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card,-48.5826
"Belkin 19"" Center-Weighted Shelf, Gray",-47.184
"Tenex Traditional Chairmats for Hard Floors, Average Lip, 36"" x 48""",-46.403999999999996
"Iris 3-Drawer Stacking Bin, Black",-43.4512
Eldon Cleatmat Chair Mats for Medium Pile Carpets,-42.18000000000001
Office Star - Ergonomically Designed Knee Chair,-42.1096
"Tenex ""The Solids"" Textured Chair Mats",-40.57679999999999
36X48 HARDFLOOR CHAIRMAT,-40.4914
Insertable Tab Post Binder Dividers,-39.699
Bevis Round Conference Room Tables and Bases,-39.4438
Mediabridge Sport Armband iPhone 5s,-38.961
Kensington 6 Outlet SmartSocket Surge Protector,-36.882000000000005
"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",-36.533699999999996
Hon Comfortask Task/Swivel Chairs,-36.473600000000005
Rogers Deluxe File Chest,-34.7284
Novimex Turbo Task Chair,-32.6508
"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 30/Pack",-32.2695
Anker Astro Mini 3000mAh Ultra-Compact Portable Charger,-31.984
Samsung Convoy 3,-31.077199999999998
Macally Suction Cup Mount,-31.07
Fellowes Bankers Box Recycled Super Stor/Drawer,-30.228800000000003
"GBC Standard Recycled Report Covers, Clear Plastic Sheets",-27.1656
"Hon Metal Bookcases, Black",-26.972399999999993
"Tennsco Lockers, Gray",-26.434800000000003
"SAFCO Commercial Wire Shelving, 72h",-24.496
Anker Astro 15000mAh USB Portable Charger,-23.995199999999997
GBC VeloBinder Strips,-23.808
Avery Durable Slant Ring Binders,-23.76
Panasonic KX MC6040 Color Laser Multifunction Printer,-22.497500000000002
Stiletto Hand Letter Openers,-21.983999999999998
Plantronics Single Ear Headset,-21.945
"Global Armless Task Chair, Royal Blue",-20.733200000000004
Cyber Acoustics AC-202b Speech Recognition Stereo Headset,-20.5242
Texas Instrument TI-15 Fraction Calculator,-20.519
Space Solutions Industrial Galvanized Steel Shelving.,-20.488
3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,-20.476799999999997
"Bush Westfield Collection Bookcases, Medium Cherry Finish",-20.293
Accohide Poly Flexible Ring Binders,-19.822000000000003
Wilson Jones Custom Binder Spines & Labels,-19.6928
Logitech Keyboard K120,-19.602
Large Capacity Hanging Post Binders,-19.461000000000006
GBC Wire Binding Strips,-18.409200000000002
Speck Products Candyshell Flip Case,-18.1948
Fellowes Neat Ideas Storage Cubes,-18.1888
Anderson Hickey Conga Table Tops & Accessories,-17.514499999999998
Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,-17.03280000000001
"Electrix Incandescent Magnifying Lamp, Black",-16.4925
Avery Reinforcements for Hole-Punch Pages,-16.137
Avery Durable Poly Binders,-15.5946
ARKON Windshield Dashboard Air Vent Car Mount Holder,-15.594000000000001
Dexim XPower Skin Super-Thin Power Case for iPhone 5 - Black,-14.622499999999995
"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",-14.4072
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",-13.906500000000001
Motorola L804,-13.337100000000003
XtraLife ClearVue Slant-D Ring Binders by Cardinal,-13.328
GBC ProClick Spines for 32-Hole Punch,-13.2818
Martin-Yale Premier Letter Opener,-12.879999999999999
Fellowes Bankers Box Stor/Drawer Steel Plus,-12.792000000000003
"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",-12.6882
Cardinal Hold-It CD Pocket,-12.4488
GBC Instant Index System for Binding Systems,-12.432
O'Sullivan 5-Shelf Heavy-Duty Bookcases,-12.290999999999997
"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",-12.132900000000003
Case Logic 2.4GHz Wireless Keyboard,-11.997600000000006
iOttie HLCRIO102 Car Mount,-11.994
Gear Head AU3700S Headset,-11.9508
"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",-11.882200000000001
GBC Personal VeloBind Strips,-11.2612
Dana Swing-Arm Lamps,-11.214
Avaya 5410 Digital phone,-10.878400000000003
Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,-10.4118
"Alliance Super-Size Bands, Assorted Sizes",-10.3474
Pressboard Hanging Data Binders for Unburst Sheets,-10.135200000000001
Shocksock Galaxy S4 Armband,-10.074
"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",-9.93719999999999
Hoover Commercial Lightweight Upright Vacuum with E-Z Empty Dirt Cup,-9.303200000000004
"GBC Velobind Prepunched Cover Sets, Regency Series",-9.24499999999999
"Wilson Jones 1"" Hanging DublLock Ring Binders",-8.5536
"Sauder Facets Collection Library, Sky Alder Finish",-8.549
Acco Side-Punched Conventional Columnar Pads,-7.8075
Eldon Shelf Savers Cubes and Bins,-7.677999999999999
"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",-7.616000000000003
Safco Commercial Shelving,-7.441599999999999
Acco Smartsocket Color-Coded Six-Outlet AC Adapter Model Surge Protectors,-7.041599999999996
Avery Hidden Tab Dividers for Binding Systems,-7.032800000000001
Akro Stacking Bins,-6.9432
Plantronics MX500i Earset,-6.4425
Sterilite Show Offs Storage Containers,-6.336
Tennsco Regal Shelving Units,-6.084599999999998
Telescoping Adjustable Floor Lamp,-5.997000000000002
Acco Economy Flexible Poly Round Ring Binder,-5.742
Revere Boxed Rubber Bands by Revere,-5.707800000000001
UniKeep View Case Binders,-5.4768
"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",-4.919999999999999
Acco Suede Grain Vinyl Round Ring Binder,-4.892799999999999
"Rogers Jumbo File, Granite",-4.8888
Eldon 100 Class Desk Accessories,-4.8528
Insertable Tab Indexes For Data Binders,-4.8336
Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,-4.466
Fellowes Black Plastic Comb Bindings,-4.415600000000001
Serrated Blade or Curved Handle Hand Letter Openers,-4.1133999999999995
"Mead 1st Gear 2"" Zipper Binder, Asst. Colors",-3.891
Sterling Rubber Bands by Alliance,-3.768
Acco 6 Outlet Guardian Basic Surge Suppressor,-3.6608
Acme Rosewood Handle Letter Opener,-3.4936000000000003
Plymouth Boxed Rubber Bands by Plymouth,-3.297
Carina Double Wide Media Storage Towers in Natural & Black,-3.2392000000000003
"Fellowes Twister Kit, Gray/Clear, 3/pkg",-3.2159999999999975
GBC Standard Plastic Binding Systems Combs,-2.9205000000000014
"Stacking Tray, Side-Loading, Legal, Smoke",-2.8672
"Super Bands, 12/Pack",-2.604
Hoover Commercial Lightweight Upright Vacuum,-2.5056000000000003
"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",-2.2830000000000013
Avery Self-Adhesive Photo Pockets for Polaroid Photos,-2.1791999999999967
PNY Rapid USB Car Charger - Black,-2.0774
Kingston Digital DataTraveler 8GB USB 2.0,-2.0229999999999997
Computer Printout Index Tabs,-2.016
Storex Flexible Poly Binders with Double Pockets,-2.0064
Angle-D Ring Binders,-1.9691999999999992
Penpower WorldCard Pro Card Scanner,-1.8295
"Executive Impressions 14"" Contract Wall Clock with Quartz Movement",-1.7783999999999978
Acme Serrated Blade Letter Opener,-1.7489999999999999
SanDisk Cruzer 8 GB USB Flash Drive,-1.3584
"Executive Impressions 16-1/2"" Circular Wall Clock",-1.0687999999999995
Round Ring Binders,-0.9152000000000005
"Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""",-0.698599999999999
Eldon Gobal File Keepers,-0.6055999999999999
"Brites Rubber Bands, 1 1/2 oz. Box",-0.5147999999999999
Rubber Band Ball,-0.29920000000000013
"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",-0.16139999999999866
Premier Electric Letter Opener,-7.105427357601002e-15
Global Super Steno Chair,-1.7763568394002505e-15
